BANDI Bandicam.dat 14.77060 CTIO 1.3 m ANDICAM B band
VANDI Vandicam.dat 14.66600 CTIO 1.3 m ANDICAM V band
RANDI Randicam.dat 14.56096 CTIO 1.3 m ANDICAM R band
IANDI Iandicam.dat 14.04837 CTIO 1.3 m ANDICAM I band
JANDI Jandicam.dat 12.74456 CTIO 1.3 m ANDICAM J band
HANDI Handicam.dat 12.77696 CTIO 1.3 m ANDICAM H band
KANDI Kandicam.dat 11.98769 CTIO 1.3 m ANDICAM K band
