grw_70d5824_005           grw_70d5824_005.dat           None CALSPEC GRW+70D5824 
grw_70d5824_stisnic_006   grw_70d5824_stisnic_006.dat   None CALSPEC GRW+70D5824 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
hd009051_stis_003         hd009051_stis_003.dat         None CALSPEC HD009051 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
hd031128_stis_003         hd031128_stis_003.dat         None CALSPEC HD031128 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
hd074000_stis_003         hd074000_stis_003.dat         None CALSPEC HD074000 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
hd106252_stis_003         hd106252_stis_003.dat         None CALSPEC HD106252 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
hd111980_stis_003         hd111980_stis_003.dat         None CALSPEC HD111980 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
hd116405_stis_003         hd116405_stis_003.dat         None CALSPEC HD116405 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
hd14943_stis_003          hd14943_stis_003.dat          None CALSPEC HD14943 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
hd158485_stis_003         hd158485_stis_003.dat         None CALSPEC HD158485 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
hd159222_stis_003         hd159222_stis_003.dat         None CALSPEC HD159222 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
hd160617_stis_003         hd160617_stis_003.dat         None CALSPEC HD160617 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
hd163466_stis_003         hd163466_stis_003.dat         None CALSPEC HD163466 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
hd165459_stisnic_003      hd165459_stisnic_003.dat      None CALSPEC HD165459 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
hd180609_stis_003         hd180609_stis_003.dat         None CALSPEC HD180609 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
hd185975_stis_003         hd185975_stis_003.dat         None CALSPEC HD185975 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
hd200654_stis_003         hd200654_stis_003.dat         None CALSPEC HD200654 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
hd205905_stis_003         hd205905_stis_003.dat         None CALSPEC HD205905 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
hd209458_stisnic_006      hd209458_stisnic_006.dat      None CALSPEC HD209458 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
hd37725_stis_003          hd37725_stis_003.dat          None CALSPEC HD37725 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
hd37962_stis_003          hd37962_stis_003.dat          None CALSPEC HD37962 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
hd38949_stis_003          hd38949_stis_003.dat          None CALSPEC HD38949 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
hd60753_stis_003          hd60753_stis_003.dat          None CALSPEC HD60753 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
hd93521_005               hd93521_005.dat               None CALSPEC HD93521 
hd93521_stis_004          hd93521_stis_004.dat          None CALSPEC HD93521 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
hs2027_stis_004           hs2027_stis_004.dat           None CALSPEC HS2027 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
hz21_005                  hz21_005.dat                  None CALSPEC HZ21 
hz21_stis_004             hz21_stis_004.dat             None CALSPEC HZ21 Flux scale of Bohlin, et al. 2014, PASP,  126, 711
hz2_005                   hz2_005.dat                   None CALSPEC HZ2 
hz43_fos_003              hz43_fos_003.dat              None CALSPEC HZ43_FOS 
hz43_mod_010              hz43_mod_010.dat              None CALSPEC HZ43_MOD Bohlin, Gordon, Tremblay 2014, PASP, 126, 711
