432.59  14.002  0.005
436.61  13.783  0.002
438.56  13.799  0.006
444.63  14.120  0.006
445.63  14.198  0.006
446.63  14.292  0.004
451.55  14.842  0.010
452.56  14.964  0.007
453.55  15.071  0.008
454.58  15.189  0.006
455.65  15.322  0.006
456.56  15.437  0.006
457.56  15.533  0.006
458.54  15.668  0.007
459.67  15.779  0.006
460.50  15.865  0.008
461.50  15.963  0.008
464.52  16.172  0.008
465.52  16.236  0.008
466.52  16.284  0.008
467.63  16.312  0.008
468.52  16.353  0.007
472.49  16.457  0.008
473.48  16.506  0.009
474.50  16.526  0.008
475.49  16.576  0.009
476.48  16.575  0.011
477.48  16.623  0.009
478.47  16.630  0.011
479.47  16.672  0.034
480.47  16.664  0.009
481.46  16.665  0.010
482.50  16.712  0.015
483.51  16.725  0.010
489.49  16.832  0.009
490.46  16.874  0.009
491.46  16.875  0.014
512.46  17.244  0.014
