432.58  14.561  0.006
436.63  14.413  0.005
438.62  14.518  0.009
444.64  15.194  0.009
445.64  15.312  0.010
446.65  15.465  0.010
452.57  16.514  0.015
453.56  16.609  0.016
454.58  16.769  0.020
455.65  16.939  0.025
456.56  16.973  0.022
457.57  17.122  0.020
458.55  17.225  0.023
459.67  17.305  0.026
460.51  17.369  0.023
461.51  17.471  0.022
464.53  17.654  0.025
465.53  17.682  0.018
466.52  17.767  0.023
467.63  17.807  0.016
468.53  17.810  0.015
472.52  17.951  0.018
473.49  17.959  0.017
474.51  18.009  0.014
475.50  18.035  0.015
476.49  18.025  0.014
477.49  18.038  0.016
478.48  18.049  0.017
479.48  18.067  0.050
480.48  18.091  0.018
481.47  18.128  0.024
482.51  18.002  0.044
483.52  18.159  0.020
489.50  18.360  0.018
490.47  18.383  0.016
491.47  18.357  0.024
512.46  18.906  0.031
