639.86  15.802  0.009
641.86  15.483  0.004
644.85  15.229  0.009
655.82  15.587  0.005
659.78  15.938  0.004
663.80  16.333  0.006
665.83  16.553  0.006
666.80  16.663  0.006
669.81  17.002  0.004
671.82  17.192  0.006
673.81  17.356  0.007
675.83  17.487  0.009
682.83  17.803  0.016
683.82  17.844  0.009
687.78  17.957  0.012
689.81  18.010  0.016
690.83  18.031  0.028
694.83  18.125  0.014
698.76  18.204  0.011
699.75  18.228  0.010
702.75  18.283  0.010
712.73  18.513  0.011
721.70  18.653  0.022
730.76  18.870  0.016
