1162.74  14.660  0.011
1162.75  14.648  0.012
1164.80  14.152  0.013
1164.81  14.151  0.015
1167.81  13.717  0.011
1167.82  13.701  0.017
1168.83  13.627  0.013
1168.84  13.635  0.015
1169.80  13.587  0.005
1169.80  13.601  0.006
1170.84  13.588  0.006
1170.84  13.583  0.006
1171.81  13.598  0.006
1171.81  13.613  0.006
1172.80  13.663  0.007
1172.81  13.662  0.008
1175.80  13.923  0.012
1175.92  13.887  0.009
1180.77  14.256  0.009
1180.78  14.243  0.008
1183.76  14.376  0.011
1183.77  14.384  0.011
1189.79  14.290  0.006
1189.80  14.294  0.006
1193.74  14.073  0.007
1193.75  14.051  0.009
1196.77  13.897  0.008
1196.78  13.897  0.008
1205.72  13.538  0.010
1205.73  13.526  0.011
1208.76  13.721  0.014
1208.77  13.695  0.011
1217.71  14.212  0.015
1217.72  14.194  0.019
1223.75  14.493  0.009
1223.76  14.513  0.008
1228.72  14.787  0.011
1228.73  14.787  0.011
1230.80  14.877  0.009
1230.81  14.873  0.009
1233.68  15.059  0.009
1233.69  15.073  0.011
1238.68  15.355  0.016
1238.69  15.329  0.014
1244.68  15.617  0.011
1244.68  15.634  0.011
1247.67  15.738  0.013
1247.68  15.744  0.017
1255.71  16.159  0.010
1255.72  16.177  0.011
1257.69  16.208  0.014
1257.70  16.200  0.020
