Us u_stritzinger 14.186  Kron-Cousins U filter based on Stritzinger et al. 2005
Bs b_stritzinger 15.289  Kron-Cousins B filter based on Stritzinger et al. 2005
Vs v_stritzinger 14.860  Kron-Cousins B filter based on Stritzinger et al. 2005
Rs r_stritzinger 15.046  Kron-Cousins R filter based on Stritzinger et al. 2005
Is i_stritzinger 14.546  Kron-Cousins I filter based on Stritzinger et al. 2005
