639.89  15.824  0.006
641.89  15.519  0.004
644.88  15.276  0.006
655.85  15.539  0.006
659.80  15.833  0.005
663.82  16.083  0.005
665.83  16.201  0.006
666.79  16.256  0.006
669.83  16.489  0.004
671.84  16.639  0.005
673.83  16.786  0.008
675.85  16.959  0.010
682.81  17.306  0.017
683.80  17.358  0.008
687.77  17.481  0.013
689.80  17.534  0.016
690.82  17.569  0.017
694.81  17.706  0.016
698.78  17.822  0.010
699.77  17.835  0.011
702.76  17.926  0.011
712.74  18.229  0.013
721.72  18.475  0.030
730.74  18.755  0.019
