753.88  14.547  0.007
756.87  14.600  0.008
758.88  14.851  0.007
773.87  14.898  0.006
773.88  14.887  0.006
776.88  14.839  0.017
776.89  14.860  0.020
779.91  14.837  0.020
786.90  15.196  0.008
786.90  15.199  0.006
789.86  15.492  0.039
789.86  15.406  0.032
796.87  15.902  0.020
796.88  15.866  0.023
800.89  16.058  0.029
800.89  16.082  0.032
803.91  16.249  0.058
803.92  16.319  0.063
807.81  16.471  0.050
807.82  16.417  0.054
813.83  16.671  0.039
813.84  16.664  0.045
817.91  17.034  0.100
817.92  16.862  0.130
835.79  17.811  0.042
835.80  17.772  0.039
845.75  18.346  0.066
845.76  18.439  0.084
