sa102-625      sa102-625.dat   sa102-625_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa103-302      sa103-302.dat   sa103-302_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa103-462      sa103-462.dat   sa103-462_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa103-483      sa103-483.dat   sa103-483_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa104-306v     sa104-306v.dat  sa104-306v_mags.dat  Stritzinger et al. (2005) PASP 117 810S
sa104-337      sa104-337.dat   sa104-337_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa104-461      sa104-461.dat   sa104-461_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa104-598      sa104-598.dat   sa104-598_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa105-205      sa105-205.dat   sa105-205_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa105-214      sa105-214.dat   sa105-214_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa105-28       sa105-28.dat    sa105-28_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa105-405      sa105-405.dat   sa105-405_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa105-448      sa105-448.dat   sa105-448_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa105-66       sa105-66.dat    sa105-66_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa105-663      sa105-663.dat   sa105-663_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa106-1250     sa106-1250.dat  sa106-1250_mags.dat  Stritzinger et al. (2005) PASP 117 810S
sa106-575      sa106-575.dat   sa106-575_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa106-700      sa106-700.dat   sa106-700_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa106-834      sa106-834.dat   sa106-834_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa107-35       sa107-35.dat    sa107-35_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa107-544      sa107-544.dat   sa107-544_mags.dat   Stritzinger et al. (2005) PASP 117 810S
sa107-684      sa107-684.dat   sa107-684_mags.dat   Stritzinger et al. (2005) PASP 117 810S
