uvk078 pickles_78.dat pickles_78.mag Pickles Atlas, type K0III  
uvk079 pickles_79.dat pickles_79.mag Pickles Atlas, type wK0III 
uvk080 pickles_80.dat pickles_80.mag Pickles Atlas, type rK0III 
uvk081 pickles_81.dat pickles_81.mag Pickles Atlas, type K1III  
uvk082 pickles_82.dat pickles_82.mag Pickles Atlas, type wK1III 
uvk083 pickles_83.dat pickles_83.mag Pickles Atlas, type rK1III 
uvk084 pickles_84.dat pickles_84.mag Pickles Atlas, type K2III  
uvk085 pickles_85.dat pickles_85.mag Pickles Atlas, type wK2III 
uvk086 pickles_86.dat pickles_86.mag Pickles Atlas, type rK2III 
uvk087 pickles_87.dat pickles_87.mag Pickles Atlas, type K3III  
uvk088 pickles_88.dat pickles_88.mag Pickles Atlas, type wK3III 
uvk089 pickles_89.dat pickles_89.mag Pickles Atlas, type rK3III 
uvk090 pickles_90.dat pickles_90.mag Pickles Atlas, type K4III  
uvk091 pickles_91.dat pickles_91.mag Pickles Atlas, type wK4III 
uvk092 pickles_92.dat pickles_92.mag Pickles Atlas, type rK4III 
uvk093 pickles_93.dat pickles_93.mag Pickles Atlas, type K5III  
uvk094 pickles_94.dat pickles_94.mag Pickles Atlas, type rK5III 
uvk095 pickles_95.dat pickles_95.mag Pickles Atlas, type M0III  
uvk096 pickles_96.dat pickles_96.mag Pickles Atlas, type M1III  
uvk097 pickles_97.dat pickles_97.mag Pickles Atlas, type M2III  
uvk098 pickles_98.dat pickles_98.mag Pickles Atlas, type M3III  
uvk099 pickles_99.dat pickles_99.mag Pickles Atlas, type M4III  
uvk100 pickles_100.dat pickles_100.mag Pickles Atlas, type M5III  
uvk101 pickles_101.dat pickles_101.mag Pickles Atlas, type M6III  
uvk102 pickles_102.dat pickles_102.mag Pickles Atlas, type M7III  
uvk103 pickles_103.dat pickles_103.mag Pickles Atlas, type M8III  
uvk104 pickles_104.dat pickles_104.mag Pickles Atlas, type M9III  
uvk105 pickles_105.dat pickles_105.mag Pickles Atlas, type M10III 
uvk106 pickles_106.dat pickles_106.mag Pickles Atlas, type B2II   
uvk107 pickles_107.dat pickles_107.mag Pickles Atlas, type B5II   
uvk108 pickles_108.dat pickles_108.mag Pickles Atlas, type F0II   
uvk109 pickles_109.dat pickles_109.mag Pickles Atlas, type F2II   
uvk110 pickles_110.dat pickles_110.mag Pickles Atlas, type G5II   
uvk111 pickles_111.dat pickles_111.mag Pickles Atlas, type K01II  
uvk112 pickles_112.dat pickles_112.mag Pickles Atlas, type K34II  
uvk113 pickles_113.dat pickles_113.mag Pickles Atlas, type M3II   
uvk114 pickles_114.dat pickles_114.mag Pickles Atlas, type B0I    
uvk115 pickles_115.dat pickles_115.mag Pickles Atlas, type B1I    
uvk116 pickles_116.dat pickles_116.mag Pickles Atlas, type B3I    
uvk117 pickles_117.dat pickles_117.mag Pickles Atlas, type B5I    
uvk118 pickles_118.dat pickles_118.mag Pickles Atlas, type B8I    
uvk119 pickles_119.dat pickles_119.mag Pickles Atlas, type A0I    
uvk120 pickles_120.dat pickles_120.mag Pickles Atlas, type A2I    
uvk121 pickles_121.dat pickles_121.mag Pickles Atlas, type F0I    
uvk122 pickles_122.dat pickles_122.mag Pickles Atlas, type F5I    
uvk123 pickles_123.dat pickles_123.mag Pickles Atlas, type F8I    
uvk124 pickles_124.dat pickles_124.mag Pickles Atlas, type G0I    
uvk125 pickles_125.dat pickles_125.mag Pickles Atlas, type G2I    
uvk126 pickles_126.dat pickles_126.mag Pickles Atlas, type G5I    
uvk127 pickles_127.dat pickles_127.mag Pickles Atlas, type G8I    
uvk128 pickles_128.dat pickles_128.mag Pickles Atlas, type K2I    
uvk129 pickles_129.dat pickles_129.mag Pickles Atlas, type K3I    
uvk130 pickles_130.dat pickles_130.mag Pickles Atlas, type K4I    
uvk131 pickles_131.dat pickles_131.mag Pickles Atlas, type M2I    
